Time[s],Error[code],Description
137.6,73,Error Code: 73
138.1,209,Error Code: 209
139.6,52,User piece too small.
144.5,52,User piece too small.
144.5,73,Error Code: 73
145.6,73,Error Code: 73
147,73,Error Code: 73
148.3,52,User piece too small.
148.3,73,Error Code: 73
149.5,73,Error Code: 73
151,73,Error Code: 73
152.1,52,User piece too small.
152.1,73,Error Code: 73
153.4,73,Error Code: 73
154.7,73,Error Code: 73
155.9,52,User piece too small.
155.9,73,Error Code: 73
157.4,73,Error Code: 73
158,197,Error Code: 197
158.8,73,Error Code: 73
160.3,73,Error Code: 73
161.7,52,User piece too small.
161.8,73,Error Code: 73
163.1,73,Error Code: 73
164.5,73,Error Code: 73
165.8,52,User piece too small.
166,73,Error Code: 73
167.2,73,Error Code: 73
168.5,73,Error Code: 73
169.9,52,User piece too small.
169.9,73,Error Code: 73
171.1,73,Error Code: 73
172.5,73,Error Code: 73
174,52,User piece too small.
174,73,Error Code: 73
175.4,73,Error Code: 73
176.9,73,Error Code: 73
178.2,52,User piece too small.
178.2,73,Error Code: 73
179.6,73,Error Code: 73
180.9,73,Error Code: 73
182.5,52,User piece too small.
182.6,73,Error Code: 73
183.6,73,Error Code: 73
184.9,73,Error Code: 73
186.4,52,User piece too small.
186.5,73,Error Code: 73
187.5,73,Error Code: 73
188.9,73,Error Code: 73
190,52,User piece too small.
190,73,Error Code: 73
191.4,73,Error Code: 73
192.7,73,Error Code: 73
194.1,52,User piece too small.
194.1,73,Error Code: 73
195.4,73,Error Code: 73
196.8,73,Error Code: 73
198.2,52,User piece too small.
198.2,73,Error Code: 73
199.4,73,Error Code: 73
200.7,73,Error Code: 73
202.1,52,User piece too small.
202.1,73,Error Code: 73
203.6,73,Error Code: 73
204.9,73,Error Code: 73
206.1,52,User piece too small.
206.1,73,Error Code: 73
207.5,73,Error Code: 73
208.8,73,Error Code: 73
210.2,52,User piece too small.
210.2,73,Error Code: 73
211.5,73,Error Code: 73
212.8,73,Error Code: 73
214.2,52,User piece too small.
214.3,73,Error Code: 73
215.5,73,Error Code: 73
216.8,73,Error Code: 73
218.2,52,User piece too small.
218.2,73,Error Code: 73
219.5,73,Error Code: 73
220.7,73,Error Code: 73
222.1,52,User piece too small.
222.1,73,Error Code: 73
223.6,73,Error Code: 73
224.7,73,Error Code: 73
226.1,52,User piece too small.
226.1,73,Error Code: 73
227.6,73,Error Code: 73
228.7,73,Error Code: 73
230.1,52,User piece too small.
230.1,73,Error Code: 73
231.5,209,Error Code: 209
232.6,191,Error Code: 191
234,73,Error Code: 73
235.6,52,User piece too small.
235.6,73,Error Code: 73
236.9,73,Error Code: 73
237.8,52,User piece too small.
237.8,73,Error Code: 73
237.8,73,Error Code: 73
237.8,73,Error Code: 73
237.8,52,User piece too small.
237.8,73,Error Code: 73
237.8,73,Error Code: 73
