Time[s],Error[code],Description
869.1,197,Error Code: 197
869.4,209,Error Code: 209
871,197,Error Code: 197
871.9,209,Error Code: 209
872,209,Error Code: 209
872.5,56,Breathing less than valve trigger.
872.5,191,Error Code: 191
873.2,196,Error Code: 196
873.5,209,Error Code: 209
873.5,191,Error Code: 191
873.5,209,Error Code: 209
873.5,209,Error Code: 209
873.5,191,Error Code: 191
873.5,209,Error Code: 209
873.5,191,Error Code: 191
873.5,209,Error Code: 209
873.5,191,Error Code: 191
873.5,209,Error Code: 209
874.3,191,Error Code: 191
880.3,122,Breath rejected; segment too short.
880.4,209,Error Code: 209
880.4,122,Breath rejected; segment too short.
885.8,197,Error Code: 197
888.3,197,Error Code: 197
895,122,Breath rejected; segment too short.
895,209,Error Code: 209
895.2,122,Breath rejected; segment too short.
900.8,56,Breathing less than valve trigger.
903.9,122,Breath rejected; segment too short.
903.9,209,Error Code: 209
903.9,122,Breath rejected; segment too short.
908.2,197,Error Code: 197
908.4,209,Error Code: 209
908.4,209,Error Code: 209
914.6,209,Error Code: 209
927.4,209,Error Code: 209
931.3,209,Error Code: 209
932.1,168,Error Code: 168
939.4,209,Error Code: 209
939.5,209,Error Code: 209
1030.1,197,Error Code: 197
1070.6,122,Breath rejected; segment too short.
1070.6,209,Error Code: 209
1070.6,122,Breath rejected; segment too short.
1099.6,209,Error Code: 209
1104.5,209,Error Code: 209
1106.1,209,Error Code: 209
1107.5,209,Error Code: 209
1108.4,191,Error Code: 191
1125.6,197,Error Code: 197
1149.1,197,Error Code: 197
1160.2,209,Error Code: 209
1185,209,Error Code: 209
1203.9,209,Error Code: 209
1223.4,122,Breath rejected; segment too short.
1223.4,209,Error Code: 209
1223.4,122,Breath rejected; segment too short.
1260.9,209,Error Code: 209
1261.7,191,Error Code: 191
1275.9,209,Error Code: 209
1277.3,191,Error Code: 191
1283.4,209,Error Code: 209
1284.7,209,Error Code: 209
1284.7,209,Error Code: 209
1285.5,168,Error Code: 168
1294.6,209,Error Code: 209
1294.7,209,Error Code: 209
1294.8,168,Error Code: 168
1295,168,Error Code: 168
1295.1,168,Error Code: 168
1295.7,168,Error Code: 168
1298,191,Error Code: 191
1300,168,Error Code: 168
1302.3,209,Error Code: 209
1302.4,209,Error Code: 209
1302.9,168,Error Code: 168
1302.9,168,Error Code: 168
1303.2,168,Error Code: 168
1303.4,168,Error Code: 168
1303.4,168,Error Code: 168
1303.5,168,Error Code: 168
1303.9,168,Error Code: 168
1303.9,168,Error Code: 168
1304,168,Error Code: 168
1304.1,168,Error Code: 168
1304.2,168,Error Code: 168
1304.3,168,Error Code: 168
1304.5,168,Error Code: 168
1305.5,121,Breath rejected; too jittery.
1355,149,Error Code: 149
